Codigo_Producto,Grupo,Segmento,Margen_Venta,Rotacion_Stock,GMROI,Demanda_Trimestral,Stock_Actual,Reposicion_Sugerida_UNI,Peso_Total_Gramos
5735,PERFUMARIA,B,49.2,2.163934426229508,1.607580737212918,4.5,0,5,1450.0
307,BEBIDAS,B,53.54,1.6382374666472372,1.550495679062729,469.8,436,34,9520.0
2736,COMESTIVEIS,C,40.5,2.2090729783037477,1.268704057044951,13.8,0,14,3220.0
5805,ACESSORIOS,C,-9.33,1.0,0.6177931704247492,0.6,0,1,112.0
157,BEBIDAS,C,30.64,3.4285714285714284,7.144792655086849,5.7,0,6,7800.0
9718,ROUPA,B,47.73,1.6666666666666667,0.9995721009841677,2.1,1,2,364.0
124,COMESTIVEIS,B,48.81,1.9780903435217745,0.5481801865937608,39.6,0,40,4000.0
428,BEBIDAS,B,53.71,1.6809492419248515,1.533987358951491,17.1,11,7,1960.0
6166,PERFUMARIA,C,24.26,1.5254237288135595,0.35489976770197024,4.5,2,3,195.0
964,LOJA DE BRINQUEDOS,A,41.35,2.6666666666666665,1.7461368653421634,0.6,0,1,320.0
5734,PERFUMARIA,B,49.21,2.1818181818181817,1.8485212266724873,4.5,0,5,1700.0
5729,PERFUMARIA,B,48.21,2.1818181818181817,1.7389442124424457,2.1,0,3,960.0
1065,LOJA DE BRINQUEDOS,C,38.99,2.2857142857142856,1.3041741286678608,3.0,0,3,720.0
4031,COMESTIVEIS,C,38.62,1.937219730941704,1.1401545881660706,4.5,0,5,1050.0
12242,COMESTIVEIS,C,43.24,2.0,1.3568472535741158,4.5,0,5,1250.0
9239,ROUPA,A,52.52,2.4,2.560313315926893,0.6,0,1,472.0
6693,ROUPA,A,48.29,2.6666666666666665,2.362692445399212,0.6,0,1,436.0
4796,PERFUMARIA,B,55.51,1.8679245283018866,1.9052001840773123,4.5,1,4,1412.0
5771,PERFUMARIA,B,49.34,1.9404255319148938,1.5588396446219626,4.5,0,5,1450.0
9594,ROUPA,C,41.81,1.0,0.6177931704247492,0.6,0,1,115.0
272,ROUPA,A,52.53,4.0,2.6835274542429284,0.6,0,1,500.0
5716,PERFUMARIA,A,48.31,2.2857142857142856,1.820754716981132,3.0,0,3,1020.0
7847,ROUPA,A,49.01,4.0,3.370755370755371,0.6,0,1,630.0
1829,PERFUMARIA,C,37.4,1.9615384615384617,0.9588620142743854,4.5,0,5,900.0
5059,COMESTIVEIS,C,29.96,2.2136669874879695,1.0641413446995738,30.6,0,31,6200.0
4979,COMESTIVEIS,C,40.26,1.9726027397260275,1.0609616329203733,11.4,0,12,2400.0
210,ROUPA,A,52.64,4.0,2.652089739209657,0.6,0,1,500.0
915,LOJA DE BRINQUEDOS,C,38.61,2.6666666666666665,1.5897435897435896,0.6,0,1,300.0
6194,PERFUMARIA,C,28.7,1.8974918211559433,0.5825531292390351,11.7,0,12,1320.0
9764,ROUPA,A,49.44,2.4,0.984737889847379,2.1,0,3,558.0
7064,ROUPA,A,57.47,3.0,3.8587453261321145,0.6,0,1,732.0
4011,COMESTIVEIS,C,37.08,2.1,1.228141025641026,6.0,0,6,1398.0
3095,PERFUMARIA,C,37.6,2.097902097902098,1.0534084427889738,11.1,0,12,2400.0
6692,ROUPA,A,48.29,2.6666666666666665,2.289294665234515,0.6,0,1,436.0
183,ROUPA,A,53.51,3.0,2.621315192743764,0.6,0,1,500.0
7855,ROUPA,B,51.72,1.0,0.6177931704247492,0.6,0,1,118.0
7851,ROUPA,B,51.72,1.0,0.6177931704247492,0.6,0,1,118.0
7171,ROUPA,B,51.76,1.0,0.6177931704247492,0.6,0,1,118.0
4804,PERFUMARIA,C,20.01,2.0826446280991737,0.3921028466483012,4.5,0,5,375.0
3726,PERFUMARIA,B,47.9,1.9354838709677418,1.4519966232636667,4.5,0,5,1400.0
5759,PERFUMARIA,A,48.97,3.0,2.339652448657188,0.6,0,1,452.0
2800,COMESTIVEIS,B,50.53,1.958251172910859,1.8021864214541194,35.7,1,35,12250.0
907,LOJA DE BRINQUEDOS,C,38.61,2.6666666666666665,1.5434891905480141,0.6,0,1,300.0
8127,ROUPA,A,45.47,3.0,2.1589403973509937,0.6,0,1,420.0
3231,PERFUMARIA,B,60.28,1.3333333333333333,1.6387773445330334,3.9,2,2,640.0
2360,PERFUMARIA,C,38.32,2.1818181818181817,1.022370299857211,4.8,0,5,1000.0
9390,ROUPA,A,53.6,4.0,1.3564055859137825,0.6,0,1,266.0
2772,COMESTIVEIS,C,24.75,2.4,0.7124676923076924,18.3,0,19,2660.0
8125,ROUPA,A,45.47,3.0,2.134488028527764,0.6,0,1,420.0
226,ROUPA,A,52.7,3.0,2.5372463239761816,0.6,0,1,500.0
7065,ROUPA,A,57.47,3.0,3.703780639800582,0.6,0,1,732.0
5698,PERFUMARIA,B,48.57,2.142857142857143,1.7101713206529072,4.5,0,5,1700.0
353,COMESTIVEIS,B,47.51,1.734132685923797,1.3567831089715152,37.2,0,38,10260.0
4840,PERFUMARIA,C,30.26,2.0377358490566038,0.7430449463349129,4.5,0,5,740.0
2806,COMESTIVEIS,C,39.9,2.4092664092664093,1.5404590038130408,34.2,0,35,10745.0
946,LOJA DE BRINQUEDOS,C,39.46,2.2992700729927007,1.4544512316139988,4.5,0,5,1450.0
9734,ROUPA,A,54.17,3.0,1.7513241525423728,0.6,0,1,350.0
5206,PERFUMARIA,B,50.62,1.8181818181818181,1.4375,2.1,1,2,576.0
2742,COMESTIVEIS,C,33.3,1.8971000935453697,0.8982723339569693,10.8,2,9,1620.0
186,ROUPA,A,53.33,2.526315789473684,2.4938899665627567,2.4,0,3,1500.0
7497,ROUPA,A,48.24,4.0,3.4412989175686928,0.6,0,1,690.0
10014,ROUPA,A,47.2,4.0,2.4912657064051484,0.6,0,1,500.0
6784,ROUPA,B,55.44,1.0,0.6177931704247492,0.6,0,1,124.0
4785,PERFUMARIA,C,34.4,2.4,1.0494570784675272,4.5,0,5,1055.0
2377,PERFUMARIA,C,35.34,2.446601941747573,1.093813762640418,4.5,0,5,1100.0
7498,ROUPA,A,48.24,4.0,3.4304746044962533,0.6,0,1,690.0
1999,PERFUMARIA,C,40.84,2.511627906976744,1.4384114021962415,4.5,0,5,1450.0
3643,PERFUMARIA,A,46.41,2.4,1.5837122158381214,2.1,0,3,960.0
5830,ACESSORIOS,B,54.15,1.0,0.6177931704247492,0.6,0,1,125.0
4842,PERFUMARIA,C,28.89,2.10989010989011,0.7301803998049732,4.5,0,5,740.0
6092,PERFUMARIA,C,28.35,1.8649517684887462,0.5900971126051513,11.7,0,12,1440.0
243,ROUPA,A,53.69,2.5,2.4582830719742663,2.4,0,3,1500.0
375,COMESTIVEIS,B,47.31,1.8181818181818181,1.474150525472454,11.4,0,12,3600.0
6676,ROUPA,B,54.12,1.0,0.6177931704247492,0.6,0,1,126.0
4004,COMESTIVEIS,C,38.54,2.142857142857143,1.2981898238747551,4.2,0,5,1325.0
5717,PERFUMARIA,B,48.15,2.142857142857143,1.6652661064425769,4.5,0,5,1700.0
4847,PERFUMARIA,C,32.91,2.184873949579832,0.8814600840336135,9.0,0,9,1620.0
3553,PERFUMARIA,B,45.07,2.057142857142857,1.360916519525315,3.3,0,4,1120.0
9952,ROUPA,A,47.27,3.0,2.4294918998527244,0.6,0,1,500.0
1072,LOJA DE BRINQUEDOS,C,38.84,1.4,0.8229268292682927,3.3,3,1,170.0
4814,PERFUMARIA,C,34.69,2.5714285714285716,1.1486793524566885,4.5,0,5,1190.0
6102,PERFUMARIA,C,34.29,1.7130620985010707,0.4820056067612162,17.1,0,18,1800.0
246,ROUPA,A,51.16,3.0,2.403824521934758,0.6,0,1,500.0
2172,PERFUMARIA,B,62.02,2.0625,2.3881425233644857,11.7,0,12,6000.0
5842,ACESSORIOS,B,53.98,1.0,0.6177931704247492,0.6,0,1,130.0
7133,ROUPA,B,54.51,1.0,0.6177931704247492,0.6,0,1,130.0
5841,ACESSORIOS,C,-9.82,1.0,0.6177931704247492,0.6,0,1,130.0
2773,COMESTIVEIS,C,32.99,2.0813008130081303,0.9979146571126728,11.4,0,12,2520.0
7104,ROUPA,A,46.95,3.0,2.426990251827782,0.6,0,1,511.0
9244,ROUPA,A,47.93,4.0,2.6110386788352886,0.6,0,1,550.0
1665,PERFUMARIA,C,40.78,2.3684210526315788,1.280069380454225,4.2,0,5,1350.0
902,LOJA DE BRINQUEDOS,C,38.61,2.4,1.4199095022624435,2.1,0,3,900.0
11292,LOJA DE BRINQUEDOS,C,41.82,1.7619377162629757,0.9432946689589635,20.4,7,14,2800.0
310,BEBIDAS,B,54.84,1.3224186209310465,1.3203058764049311,636.3,557,80,22400.0
94,COMESTIVEIS,B,47.03,1.6708662538258952,1.3179034403534777,37.2,18,20,5600.0
9737,ROUPA,A,48.35,4.0,1.585703104617793,0.6,0,1,338.0
1990,PERFUMARIA,C,41.59,1.6666666666666667,0.9851059366477869,2.1,1,2,420.0
248,ROUPA,A,52.46,4.0,2.337751175716118,0.6,0,1,500.0
9316,ROUPA,B,45.42,1.6666666666666667,0.8644936449364494,2.1,1,2,372.0
3406,LOJA DE BRINQUEDOS,C,39.92,2.0425531914893615,1.2996806586895464,4.5,0,5,1400.0
